"Haltestellen_Id";"Haltestellennummer";"Haltestellenkurzname";"Haltestellenlangname"
745;2082;"RIE07";"Glattbrugg, Riethofstrasse"
548;2758;"UNTR07";"Glattbrugg, Unterriet"
744;992;"GLAG07";"Glattbrugg, Zentrum"
461;6461;"GGLA07";"Glattpark"
694;6510;"GCHA07";"Glattpark, Chavez-Allee"
695;6455;"GLIB07";"Glattpark, Lindbergh-Allee"
545;6508;"GLIN07";"Glattpark, Lindberghplatz"
693;6767;"GWRI07";"Glattpark, Wright-Strasse"
261;1006;"GDOR";"Gockhausen, Dorf"
260;6214;"URSP";"Gockhausen, Ursprungstrasse"
793;7130;"HDOR";"Hilfikon, Dorf"
794;7131;"HSAN";"Hilfikon, Sandbüel"
7;12500;"HIE99";"Hinteregg"
590;1341;"ITDO";"Itschnach, Dorf"
589;1342;"ITFA";"Itschnach, Fallacher"
591;2038;"REBW";"Itschnach, Rebweg"
592;2695;"TAEG";"Itschnach, Tägermoos"
632;75;"ALZE";"Kilchberg ZH, Alterszentrum"
48;118;"AUFB";"Kilchberg ZH, Auf Brunnen"
633;589;"BAEC";"Kilchberg ZH, Bächlerstrasse"
51;1391;"BKIL";"Kilchberg ZH, Bahnhof"
342;3775;"BEND";"Kilchberg ZH, Bendlikon"
630;6782;"KBRE";"Kilchberg ZH, Breitloo"
678;1018;"GOBI";"Kilchberg ZH, Gottlieb-Binder"
356;1249;"HORN";"Kilchberg ZH, Hornhaldenstr."
47;1401;"KILB";"Kilchberg ZH, Kirche"
359;1457;"KREK";"Kilchberg ZH, Kreuzstrasse"
629;7069;"KLAE";"Kilchberg ZH, Lätten"
343;1577;"LISP";"Kilchberg ZH, Lindt & Sprüngli"
46;7067;"KNEU";"Kilchberg ZH, Neuweid"
357;1863;"PAKI";"Kilchberg ZH, Paradiessteig"
341;1864;"PARU";"Kilchberg ZH, Paradiesstrasse"
358;2154;"SANK";"Kilchberg ZH, Sanatorium"
676;2239;"SLIM";"Kilchberg ZH, Schlimbergstr."
677;2264;"SOKI";"Kilchberg ZH, Schoorenstrasse"
49;2304;"KSCH";"Kilchberg ZH, Schwelle"
43;1440;"KSPI";"Kilchberg ZH, Spital"
631;2580;"STOG";"Kilchberg ZH, Stockengut"
355;2859;"WEIK";"Kilchberg ZH, Weinbergstrasse"
50;2277;"SHDO";"Kilchberg ZH,Schulhaus Dorfstr"
559;1397;"KIND";"Kindhausen AG"
560;757;"EIHH";"Kindhausen AG, Eichholz"
549;6506;"BABH07";"Kloten Balsberg, Bahnhof"
746;422;"BALS07";"Kloten, Balsberg Hardacher"
750;527;"BRAM07";"Kloten, Bramen"
748;6266;"KLAE07";"Kloten, Lägernstrasse"
749;6264;"KNEU07";"Kloten, Neubrunnenstrasse"
751;7019;"WALW07";"Kloten, Waldeggweg"
315;54;"KALL";"Küsnacht ZH, Allmend"
704;1488;"BKUE";"Küsnacht ZH, Bahnhof"
311;462;"BEST";"Küsnacht ZH, Bergstrasse"
307;516;"BOGL";"Küsnacht ZH, Boglerenstrasse"
305;610;"BUEH";"Küsnacht ZH, Bühlstrasse"
707;933;"GART";"Küsnacht ZH, Gartenstrasse"
